Year,Player,Country,Matches,Innings,Not_out,50s,100s,0s,Highest_score,Runs,Strike_rate,Average,Catches,Stumping
1975,"Gavaskar, S M",India,3,3,2,1,0,0,65,113,41.24,113.0,0,0
1975,"Murray, D L",West Indies,5,3,2,1,0,0,61,105,80.77,105.0,9,0
1975,"Engineer, F M",India,3,2,1,1,0,0,54,78,60.47,78.0,2,0
1975,"Abid Ali, S",India,3,1,0,1,0,0,70,70,71.43,70.0,0,0
1975,Majid Khan,Pakistan,3,3,0,3,0,0,84,209,75.45,69.67,0,0
1975,"Fletcher, K W R",England,4,3,0,1,1,0,131,207,69.23,69.0,1,0
1975,"Amiss, D L",England,4,4,0,1,1,0,137,243,84.38,60.75,1,0
1975,"Denness, M H",England,4,4,2,0,0,0,37,113,75.84,56.5,0,0
1975,"Edwards, R",Australia,5,4,1,2,0,1,80,166,79.81,55.33,0,0
1975,"Kanhai, R B",West Indies,5,4,2,1,0,0,55,109,55.05,54.5,3,0
1975,Asif Iqbal,Pakistan,1,1,0,1,0,0,53,53,55.79,53.0,1,0
1975,"Lloyd, C H",West Indies,5,3,0,1,1,0,102,158,104.64,52.67,4,0
1975,Javed Miandad,Pakistan,2,2,1,0,0,0,28,52,77.61,52.0,2,0
1975,"Kallicharran, A I",West Indies,5,5,1,2,0,0,78,197,76.65,49.25,2,0
1975,"Julien, B D",West Indies,5,3,2,0,0,0,26,48,58.54,48.0,0,0
1975,Zaheer Abbas,Pakistan,3,3,0,1,0,0,97,136,87.74,45.33,3,0
1975,"Old, C M",England,4,4,2,1,0,1,51,89,136.92,44.5,1,0
1975,"Gilmour, G J",Australia,2,2,1,0,0,0,28,42,107.69,42.0,1,0
1975,"Wood, B",England,3,2,0,1,0,0,77,83,52.87,41.5,0,0
1975,"Turner, A",Australia,5,5,0,0,1,0,101,201,87.77,40.2,3,0
1975,"Mendis, L R D",Sri Lanka,2,2,1,0,0,0,32,40,70.18,40.0,1,0
1975,"Walters, K D",Australia,5,5,1,1,0,0,59,123,64.4,30.75,0,0
1975,Wasim Raja,Pakistan,3,3,0,1,0,0,58,91,75.83,30.33,2,0
1975,"Hayes, F C",England,3,3,0,1,0,0,52,90,66.18,30.0,0,0
1975,Mushtaq Mohammad,Pakistan,3,3,0,1,0,0,55,89,54.27,29.67,1,0
1975,"Gaekwad, A D",India,3,2,0,0,0,0,37,59,60.82,29.5,1,0
1975,Sadiq Mohammad,Pakistan,3,3,0,1,0,0,74,85,69.11,28.33,0,0
1975,"Howarth, G P",New Zealand,3,3,0,1,0,0,51,80,54.79,26.67,0,0
1975,"Marsh, R W",Australia,5,5,2,1,0,0,52,78,60.94,26.0,9,1
1975,"Tennekoon, A P B",Sri Lanka,3,3,0,0,0,1,48,78,70.91,26.0,2,0
1975,"Tissera, M H",Sri Lanka,3,3,0,1,0,0,52,78,52.7,26.0,0,0
1975,"Chappell, G S",Australia,5,5,0,1,0,0,50,129,75.44,25.8,3,0
1975,"Thomson, J R",Australia,5,4,2,0,0,0,21,51,113.33,25.5,1,0
1975,"Hastings, B F",New Zealand,4,4,1,0,0,0,34,76,54.68,25.33,3,0
1975,"Patel, B P",India,3,2,1,0,0,0,16,25,28.09,25.0,0,0
1975,"Chappell, I M",Australia,5,5,0,1,0,0,62,121,57.08,24.2,0,0
1975,"McCosker, R B",Australia,5,5,0,1,0,1,73,120,40.82,24.0,0,0
1975,"De Silva, D S",Sri Lanka,3,2,0,0,0,0,26,47,43.12,23.5,0,0
1975,"Fredericks, R C",West Indies,5,5,0,1,0,0,58,116,62.7,23.2,2,0
1975,"Morrison, J F M",New Zealand,4,4,0,1,0,0,55,91,50.0,22.75,2,0
1975,"Holder, V A",West Indies,5,2,1,0,0,0,16,22,73.33,22.0,2,0
1975,"Greenidge, C G",West Indies,4,4,0,1,0,0,55,88,48.89,22.0,0,0
1975,"Boyce, K D",West Indies,5,2,0,0,0,0,34,41,95.35,20.5,0,0
1975,Mehmood Quaraishy,East Africa,3,3,1,0,0,0,19,41,26.62,20.5,0,0
1975,"Madan Lal, S",India,3,1,0,0,0,0,20,20,45.45,20.0,0,0
1975,"Viswanath, G R",India,3,2,0,0,0,0,37,39,57.35,19.5,0,0
1975,Zulfiqar Ali,East Africa,3,3,1,0,0,0,30,39,51.32,19.5,1,0
1975,Frasat Ali,East Africa,3,3,0,0,0,1,45,57,32.39,19.0,0,0
